LC NO.,LC 개설일,LC 만기일,LC 결제 금액,제조/판매,ORDER NO.,제지사,품명,평량,SHIPPER,BUYER,QUANTITY,MT,PRICE,AMOUNT,B/L,VESSEL,CTR NO.,CTR EA,환율,ETD,ETA,통관일,수입통관 발행일,수입통관 결제금액,결제일,발주서,계약서,선적서류,"통관서류
(선사 INVOICE)","통관서류
(면장,배차요청서)",원산지,월별 정리,비고,ETD TIMESTAMP,ETA TIMESTAMP,발주일,통관 완료
OFFER,,,,,CS-230101.,OPT,NCR,,OPT,청명전산,,,,,,,,,,3/18,3/23,,,,,,https://drive.google.com/file/d/1WV4B4T2TZKE0minj79BI5RH-hSROWOGS/view?usp=drive_link,https://drive.google.com/file/d/1Sm0vbVs0xk9jPVUmEDNO4yNvxDbOf7ad/view?usp=drive_link,,,,23년01월,,,3/5,2023/1/1,TRUE
M04FQ2301NU00107,1/10,5/22,,판,CS-230102.,APP,UWK,117,GOLD EAST,CHISAN,63,54.849Mt,$940.00,"$51,558.06",TLTCICBH04151001,BEI HAI0415E,DFSU3164594,4X20FT,"₩1,322.60",2/3,2/13,2/14,3/27,"₩6,578,450.0",5/22,,https://drive.google.com/file/d/1Jb0dzyYnQVn_d0IlyejuwkfWjTzgTEsC/view?usp=drive_link,https://drive.google.com/file/d/1UXnuH5q3VYQEWmzeAu-bgwgkwbYSGO0a/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00057,2/6,6/12,,제,CS-230103.,APP,COPY,75,OLEANDER,CHISAN,31,43.8Mt,$850.00,"$37,230.39",,WAN HAI 263,WHSU6315228,2X40FT,"₩1,365.00",3/6,3/30,3/31,4/21,"₩4,850,440.0",6/12,,https://drive.google.com/file/d/1xLyf78nF6mORCtu0Y82jGGi32J7zk1wo/view?usp=drive_link,https://drive.google.com/file/d/1lF7bJ_Lj7m36HpqwoKAWeS-Uug9lbVFb/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230104.,NPI,FORM BOND,80,NPI,CHISAN,51,63.58Mt,$945.00,"$60,083.10",KMTCIWK0024503,RELIANCE 2311W,BMOU5784191,3X40FT,,3/22,3/30,3/29,4/21,"₩8,020,710.0",3/28,,https://drive.google.com/file/d/1NuwMwKl8hx-9_XPfb2WWwl7hhMcot0PS/view?usp=drive_link,https://drive.google.com/file/d/1Jkvj3ozIctPmaIikzYlxiq6L5dkUn6ya/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230105.,AP,WF,STOCK,AP,CHISAN,24,20.526Mt,$750.00,"$15,394.50",COSU6351209050,ANL GIPPSLAND 064N,TRHU5961798,1X40FT,"₩1,360.00",2/8,3/14,3/20,4/21,"₩2,017,290.0",2/28,,https://drive.google.com/file/d/1g1B6j03vw4hgutLPC5_oFr-hv8A_lzHZ/view?usp=drive_link,https://drive.google.com/file/d/1qu89JxC_eBbZxF6cwkPxRYR3nEw-HUr8/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230106.,OPT,NCR,,OPT,CHISAN,76,45.252Mt,$1591.51,"$72,018.94",SNKO190230300079,SAWASDEE INCHEON 2303N,SKHU87038350,2X40FT,"₩1,369.00",3/19,3/29,3/31,4/21,"₩9,508,810.0",3/31,,https://drive.google.com/file/d/1xYoiq126PS-3xJor-yPww_6GB3aJMaks/view?usp=drive_link,https://drive.google.com/file/d/107f4DhnkL47CCuodeTx1G4v2vcVXZuHp/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230107.,OPT,NCR,,OPT,청솔특수지,40,22.595Mt,$1507.52,"$34,062.36",SNKO190230300082,HEUNG-A BANGKOK,FCIU8383312,1X40FT,,3/19,3/29,,,,,,https://drive.google.com/file/d/1lCaWZ-sEBdDBmgKMtFdUWovUtu8VFo-3/view?usp=drive_link,https://drive.google.com/file/d/1EnHfWr6M3oiSAwrSkqwHR6lux278jmCJ/view?usp=drive_link,,,,23년01월,,3/5,,2023/1/1,TRUE
M04FQ2301NU00139,1/18,5/31,,제,CS-230108.,CPC,KRAFT,50,MARUBENI,오즐 바이오,284,110.7Mt,$1000.00,"$110,700.00",KMTCSEN000562,SUNNY MAPLE 2311W,SEGU6588349,5X40FT,"₩1,238.50",2/21,2/25,3/7,3/27,"₩14,522,510.0",5/31,,https://drive.google.com/file/d/1PnEnxbUVYzkYgjT1t49gYfB1W8l_PmFO/view?usp=drive_link,https://drive.google.com/file/d/1DgXURBB30vXoX3EdMWfEQdIgdS7y5612/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230109.,NPI,FORM BOND,90,NPI,CHISAN,64,80.564Mt,$945.00,"$76,133.36",KMTCIWK0025473,RELIANCE 2310W,BEAU4923580,4X40FT,"₩1,378.00",3/16,3/25,3/31,4/21,"₩10,176,090.0",3/31,,https://drive.google.com/file/d/11kIPsF2G5VMQna981_wLVvJQA28KIjoM/view?usp=drive_link,https://drive.google.com/file/d/1bwOwibhT-T6PauuiTXC91bABrNocO4hI/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230110.,CPC,WF,95,TPPI,CHISAN,57,87.436Mt,$894.50,"$78,211.21",KMTCSEN0001608,SUNNY MAPLE 2317W,BMOU6254642,4X40FT,"₩1,363.00",3/21,3/28,4/3,4/21,"₩10,152,590.0",3/15,,https://drive.google.com/file/d/1RRSMGHWPjkZhoNmTWDbN8krzVzwrp_sB/view?usp=drive_link,https://drive.google.com/file/d/1l6KjDWOPbb61pxtBP6WBAFX8m9OOrKTE/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230111.,CPC,WF,64,TPPI,CHISAN,36,44.91Mt,$894.50,"$40,171.99",KMTCSEN0000609,SUNNY MAPLE 2317W,FCIU7228712,2X40FT,"₩1,363.00",3/21,3/28,4/3,4/21,"₩5,214,720.0",3/15,,https://drive.google.com/file/d/1OvkcfuOhxlrHH7UUmjxG_XesXrg4MC5T/view?usp=drive_link,https://drive.google.com/file/d/1d1GtLMSE66BjQXUCV71b5pRkzBiRbAu0/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2301NU00146,1/25,5/23,,판,CS-230112.,CHUNGHWA,WF,67,CHUNGHWA,CHISAN,81,44.545Mt,$920.00,"$40,981.40",YMLUI202559874,YM IMMENSE 354S,TCNU2184833,2X40FT,"₩1,312.70",2/19,2/23,2/23,3/27,"₩5,222,500.0",5/23,,https://drive.google.com/file/d/1-4Ir03wjZzEjykFOlJr29HH9KRuIlb3S/view?usp=drive_link,https://drive.google.com/file/d/1bLgX2KMB4AZyJomD75EjzDEGskD9_icg/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00025,2/1,6/14,,제,CS-230113.,APRIL,WF,70,GREENPOINT,CHISAN,96,105.943Mt,$910.00,"$96,408.13",091DA01819,WAN HAI 329,WHSU6186305,5X40FT,"₩1,378.00",3/10,3/19,3/21,4/21,"₩13,041,500.0",6/14,,https://drive.google.com/file/d/1g2tIE_WhihIQMmlgb94aZQ9RLGjXC53U/view?usp=drive_link,https://drive.google.com/file/d/1e2FUTUV0nFJuHbpG2qDXj9ztroQHqKHS/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00018,2/1,6/21,,제,CS-230114.,APRIL,COPY,75,GREENPOINT,CHISAN,32,42.673Mt,$920.00,"$39,259.16",091DA02233,WAN HAI 308 N009,TRHU4481182,2X40FT,"₩1,293.60",3/16,3/26,3/27,4/21,"₩5,280,520.0",6/21,,https://drive.google.com/file/d/1G83rs4t7lM0BarLMK6UJjMAFmhtEjDvz/view?usp=drive_link,https://drive.google.com/file/d/1vKCtoHiHNhRw32EceP9vp4BcCA__hVkd/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00032,2/2,6/20,,판,CS-230115.,UPM,COPY,70,UPM,OKPNC,126,48.132Mt,$930.00,"$44,762.76",SCGUINC9EA666,CONSISTENCE 527E,CBHU5962729,3X20FT,"₩1,285.00",3/14,3/15,3/16,3/27,"₩5,870,850.0",6/20,,https://drive.google.com/file/d/1jRzRfDVU1YWXn6VW-NA3pEHRcKzkNxTR/view?usp=drive_link,https://drive.google.com/file/d/16SurZhcyK5EMiZmqsXonPFCNsHJ2uODF/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00040,2/2,6/20,,제,CS-230116.,UPM,COPY,80,UPM,CHISAN,48,63.105Mt,$880.00,"$55,532.40",SCGUINC9EA665,CONSISTENCE 527E,CBHU4404234,5X20FT,"₩1,285.50",3/13,3/15,3/16,3/27,"₩7,290,180.0",6/20,,https://drive.google.com/file/d/1XASjrivyT9BFEPDgC7u5u8j9DZEKRbV6/view?usp=drive_link,https://drive.google.com/file/d/1YRNcuAdZsK8NyxwsdpU2fXs-bez58Euc/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230201.,SNP,MGI,30,SNP,POSCO 1ST,186,89.766Mt,$1460.00,"$131,058.36",KMTCBKK3085070,KMTC OSAKA,BEAU4859769,4X40FT,"₩1,378.00",3/4,3/12,3/10,3/27,"₩17,193,280.0",3/10,,https://drive.google.com/file/d/15wYMx2anKtGCd9PHSQmva3C8b59Ix9Cv/view?usp=drive_link,https://drive.google.com/file/d/1ZiVTUWGaEN3Is62MAXGxmAx4akb4aqqD/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230202.,SNP,MGI,30,SNP,POSCO 2ND,34,21.242Mt,$1460.00,"$31,013.32",KMTCBKK3073985,KMTC OSAKA,FCIU7233494,1X40FT,"₩1,311.00",3/4,3/12,3/14,3/27,"₩4,056,410.0",3/14,,https://drive.google.com/file/d/18ZmotrwetgYMdTPzz8eSfjdsMbssn3Co/view?usp=drive_link,https://drive.google.com/file/d/15M9nKJeeNderuIrXa75esayCqKVUGP7-/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,제,CS-230203.,AP,KRAFT,STOCK,AP,CHISAN,65,41.052Mt,$800.00,"$32,841.60",COSU6352096100,OOCL CANADA 096N,TRHU4096340,2X40FT,"₩1,295.70",3/10,4/8,4/10,4/21,"₩4,303,950.0",3/31,,https://drive.google.com/file/d/1_PrGk4kPzb5BiPVTq9fCf8JGdEMyKjd0/view?usp=drive_link,https://drive.google.com/file/d/1-2vh-KjKTZ4RV5SLhDSrrhg-bHtzmr4L/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00121,2/23,6/22,,제,CS-230204.,APP,COPY,75,OLEANDER,CHISAN,46,64.682Mt,$850.00,"$54,979.28",045DA03894,WAN HAI 317N205,WHLU5747432,3X40FT,"₩1,291.00",3/15,4/9,4/10,4/21,"₩7,205,140.0",6/22,,https://drive.google.com/file/d/1R1IiMtYjW4r1uXuE9KbTsg2rHvHB62Dw/view?usp=drive_link,https://drive.google.com/file/d/1qUUgfnZEcggHrY_saE4kn5s_lA3-neHa/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00139,2/23,6/22,,제,CS-230205.,APP,COPY,80,OLEANDER,CHISAN,62,66.86Mt,$850.00,"$56,831.14",045DA03895,WAN HAI 317N205,WHSU5247793,3X40FT,"₩1,290.70",3/15,4/9,4/10,4/21,"₩7,447,830.0",6/22,,https://drive.google.com/file/d/1Ltfe2GNN3b8jgGXMRIyqWfI_TAwGxkU2/view?usp=drive_link,https://drive.google.com/file/d/1odUjPtzH2LnwU1lhRdKc17aoyVAG-6Ag/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230206.,OPT,NCR,,OPT,청솔특수지,222,34.807Mt,$1524.98,"$53,079.91",KMTCLCH4244523,SKY SUNSHINE 2305N,KMTU9298342,"1X20,1X40FT",,4/26,5/4,,,,,,https://drive.google.com/file/d/1-ot4r-2VFxbw8ZSfI5d49PSY289J2Z2M/view?usp=drive_link,https://drive.google.com/file/d/19bD2iErc6hfAX0_SSLmpnX81ARo_RUlG/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00178,2/28,7/24,,제,CS-230208.,WESTROCK,MG KRAFT,47,CELLMARK,CHISAN,109,68.581Mt,$1370.00,"$93,955.97",NAM6117206,CMA CGM MEDEA,CMAU6184445,3X40FT,"₩1,282.50",3/28,5/3,5/2,5/31,"₩12,535,790.0",7/24,,https://drive.google.com/file/d/1RhjZxicQ5z3BQjjEwexX5DtskE9Cstcu/view?usp=drive_link,https://drive.google.com/file/d/1xEhpBSIo5fHhgeT-Sxkup3Thwc9yd0jJ/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230210.,OPT,NCR,,OPT,CHISAN,259,59.954Mt,$1547.06,"$92,752.27",KMTCLCH4220268,SKY SUNSHINE 2304N,BMOU6238765,3X40FT,"₩1,363.50",4/8,4/17,4/18,5/31,"₩12,394,870.0",4/17,,https://drive.google.com/file/d/1_M9sb3YvGHrqzwmVUwHMK4Tg-xGxXGzJ/view?usp=drive_link,https://drive.google.com/file/d/166RcxUrgtSXZFC7vFPPLV7RrVq-Ite_M/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230211.,CPC,W/F,95,TPPI,CHISAN,52,66.791Mt,$894.50,"$59,744.42",KMTCSEN0006651,SUNNY PALM 2324W,FCIU7219963외,3X40FT,"₩1,331.55",4/25,4/30,4/28,5/31,"₩7,857,350.0",4/17,,https://drive.google.com/file/d/168Ct1UkeA632_XAe92E7IL_G3n2k5pcR/view?usp=drive_link,https://drive.google.com/file/d/17frPYiqfMkVavTQgGAWnqMVFZRyxXB6e/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230212.,LINTEC,BROWN GP,50,LINTEC,CHISAN,82,21.576Mt,$1900.00,"$40,994.40",HB230400024,HEUNG-A YOUNG 0296N,SKHU9805289,1X40FT,"₩1,325.60",4/3,4/12,4/12,4/21,"₩5,437,640.0",4/12,,https://drive.google.com/file/d/1JZTZZwNS6pTi6e8U-rl2tMx5CUFLwOe8/view?usp=drive_link,https://drive.google.com/file/d/1u3CZl14QoYi_vomLCjwao2ZA_lgvA01N/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FFQ2302NU00107,2/20,7/18,,판,CS-230213.,UPM,COPY,70,UPM,OKPNC,80,30.56Mt,$930.00,"$28,420.80",SCGUINC9EA724,CONSISTENCE 527E,BMOU2389085,2X20FT,"₩1,262.30",4/10,4/12,4/12,4/21,"₩3,735,260.0",7/18,,https://drive.google.com/file/d/1MDZleacbGoMhbpm6mCP8EqHn36dKfBvB/view?usp=drive_link,https://drive.google.com/file/d/1E5YcQZojMUO-xcPHUTOwqWhTYxc5MXfc/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00185,2/28,6/15,,제,CS-230214.,CATALYST,KRAFT,48.8,CATAYST,CHISAN,151,67.332Mt,$899.88,"$60,590.70",CAN0715876,COSCO MALAYSIA,CMAU9207143,3X40FT,"₩1,285.90",3/17,4/22,4/21,4/24,"₩7,998,690.0",6/15,,https://drive.google.com/file/d/1NzobKNB_oH9EgyXgH6EoRDTWLKTWvMMN/view?usp=drive_link,https://drive.google.com/file/d/1DObI_18YAmnVdyax1kNJz_CwXLa2PuZp/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
OFFER,,,,,CS-230215.,OPT,NCR,,OPT,청명전산,,,,,,,,,,4/8,4/15,,,,,,https://drive.google.com/file/d/188BCGfneCECNvHVA_BPx1V91Ajuau1es/view?usp=drive_link,https://drive.google.com/file/d/1dFALzY8-eq8jsn94VBGMHk4GFMudZi9t/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00114,2/20,7/3,,판,CS-230216.,APP,UWK,117,GOLDEAST,CHISAN,79,68.867Mt,$940.00,"$64,734.98",TLTCICBH04211003,JIANG YUAN JI 6,CXDU1092511,5X20FT,"₩1,359.00",3/21,4/4,4/3,4/21,"₩8,573,280.0",7/3,,https://drive.google.com/file/d/1P0X7T2oMBfoTWdmKCL2Q3gljA02Ftgum/view?usp=drive_link,https://drive.google.com/file/d/1-1iVJ-otU6oJqtvZbp0A7LQpumooxn5-/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,제,CS-230217.,AP,KRAFT,STOCK,AP,CHISAN,129,110.766Mt,$770.00,"$85,289.82",COSU6352754170,OOCL CANADA 096N,TGBU8645526,5X40FT,"₩1,328.00",3/10,4/6,4/10,4/21,"₩11,177,400.0",3/31,,https://drive.google.com/file/d/1MC7Cm9wz9nDPWwazi3miMaL-QT1g_CY-/view?usp=drive_link,https://drive.google.com/file/d/1ebuNwe18m3HF3KVKC3e-PHZhk09T2g1x/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00160,2/27,6/23,,판,CS-230220.,CHUNGHWA,WF,67/75,CHUNGHWA,CHISAN,52,22.125Mt,$910.00,"$20,133.75",YMLUI202562464,YM IMMENSE 356N,SEGU6768320,1X40FT,"₩1,306.30",3/21,3/24,3/27,4/21,"₩2,636,090.0",6/23,,https://drive.google.com/file/d/1bz53IpaqgvEylTNUmI4fwWp-ipZP0o-f/view?usp=sharing,https://drive.google.com/file/d/1hoat_reUqBfj3KK7tjgJNiakNWv93Dsk/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
M04FQ2302NU00160,2/27,6/26,,판,CS-230220.2,CHUNGHWA,WF,67/75,CHUNGHWA,CHISAN,38,21.891Mt,$910.00,"$19,920.81",YMLUI202562465,HANSA DUBURG 23008N,FBLU0146301,1X40FT,"₩1,303.70",3/24,3/27,3/27,4/21,"₩2,608,350.0",6/26,,,https://drive.google.com/file/d/1hoat_reUqBfj3KK7tjgJNiakNWv93Dsk/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230221.,SNP,MGI,30,SNP,POSCO 1ST,220,112.21Mt,$1460.00,"$163,826.60",SNKO190230301354,SAWASDEE ALTAIR 2301N,SEKU4974497,5X40FT,"₩1,325.00",4/6,4/15,4/13,4/21,"₩21,469,800.0",4/12,,https://drive.google.com/file/d/1SFn22dVj7UAEMy8_v_9T-XFf6QhWc1GL/view?usp=sharing,https://drive.google.com/file/d/1r2_bQwtDcQjmaLrt7D9-ETJ4iV6Ngh2I/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230222.,SNP,MGI,30,SNP,POSCO 2ND,36,22.302Mt,$1460.00,"$32,560.92",KMTCBKK3104338,SKY SUNSHINE 2304N,FFAU3966177,1X40FT,"₩1,325.00",4/8,4/16,4/14,5/31,"₩4,267,170.0",4/12,,https://drive.google.com/file/d/1yKEtwuJk4H7susqfxPIRK88Yl1iNk9Uv/view?usp=sharing,https://drive.google.com/file/d/1yQXpHMD9V14B3KZtkM1G8VsFDbtXrz_N/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230223.,SNP,MGO,25,SNP,POSCO MS,51,21.519Mt,$1620.00,"$34,860.78",KMTCBKK3100983,KMTC POHANG 2305N,FFAU3974980,1X40FT,"₩1,337.30",4/13,4/21,4/25,5/31,"₩4,584,750.0",4/25,,https://drive.google.com/file/d/1c16fG3e2Xx16ix25_rr2UXdRxfRS4mKN/view?usp=sharing,https://drive.google.com/file/d/1e-NYnsEuKnsIzRT-fSrA_9gRWIfnbtaI/view?usp=sharing,,,,23년02월,,,,2/1,TRUE
M04FQ2303NU00018,3/6,7/25,,제,CS-230301.,UPM,WF,70,UPM,CHISAN,84,96.416Mt,$890.00,"$85,810.24",SCGUINC9EA747,CONSISTENCE 532E,TLLU3106076,7X20FT,"₩1,281.00",4/18,4/20,4/20,4/21,"₩11,364,710.0",7/25,,https://drive.google.com/file/d/17TqMRwW3fmPvfj69NLjzSifsYuyolM7e/view?usp=sharing,,,,,23년03월,,,,3/1,TRUE
,,,,판,CS-230302.,AP,KRAFT,STOCK,AP,에스지산업,33,21.967Mt,$775.00,"$17,024.44",COSU6353531020,ANL GIPPSLAND 065N,TRHU6143163,1X40FT,"₩1,325.60",3/29,4/27,5/3,5/31,"₩2,271,430.0",4/12,,https://drive.google.com/file/d/1zfK-OQvi4TopCArg_ST50LxgTpWWavBE/view?usp=sharing,https://drive.google.com/file/d/1QvBezIhEmYbV6RZdY2G6R4CUsIOQiT6d/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
M07C32303NU00192,3/30,7/25,,제,CS-230303.,APP,WF,70,OLEANDER,CHISAN,89,113.709Mt,$850.01,"$96,653.47",045DA06254,WAN HAI 303 N338,WHSU5627469,5X40FT,"₩1,360.00",4/16,5/11,5/11,5/31,"₩12,946,440.0",7/19,,https://drive.google.com/file/d/1djcHI-th58V_dx2hc8enbsTbE9BV93Yi/view?usp=sharing,https://drive.google.com/file/d/1J-8rq0MtEv-xYEyjXpf7PZqeIzKlCE3k/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
M07C32303NU00203,3/30,7/25,,제,CS-230304.,APP,COPY,75,OLEANDER,CHISAN,,66.561Mt,$830.20,"$55,258.95",,WAN HAI 317 N206,WHSU6009803,3X40FT,"₩1,325.14",4/16,5/14,5/14,5/31,"₩7,311,640.0",7/25,,https://drive.google.com/file/d/1hNB0cHRLQmw6stOQsDL7kwic0ZmBgIsZ/view?usp=sharing,https://drive.google.com/file/d/1Dyw3vJcwsFIlCtGgCJcxWNzCTc1EJpeA/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
M07C32303NU00228,3/30,7/25,,제,CS-230305.,APP,COPY,80,OLEANDER,CHISAN,84,90.14Mt,$850.00,"$76,619.14",,WAN HAI 317 N206,WHSU6754025,4X40FT,"₩1,282.51",4/19,5/14,5/15,5/31,"₩10,137,930.0",7/25,,https://drive.google.com/file/d/1ERvLxqH9TAApBu9glIxaXtPk-ChSepTL/view?usp=sharing,https://drive.google.com/file/d/1r9MHFZQPeDYKna5B5-GUK1m1v2ijAjEc/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
M07C32303NU00210,3/30,7/25,,판,CS-230306.,APP,COPY,70,OELANDER,CHISAN,114,45.667Mt,$880.02,"$40,187.79",045DA06175,WAN HAI 303 N338,WHSU6109090,2X40FT,"₩1,367.00",4/16,5/14,5/15,5/31,"₩5,317,480.0",7/19,,https://drive.google.com/file/d/1zat1oeoXwqTuoAG7vqFzzswSa23mzai1/view?usp=sharing,https://drive.google.com/file/d/1tR6Y3zPZFkv6OUHA5aEZeY5pkgc8EPBV/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
,,,,판,CS-230307.,LINTEC,WHITE GP,50,LINTEC,CHISAN,78,21.558Mt,$1920.00,"$41,391.36",HB230400186,DONGJIN VENUS 0172N,SKHU9945758,1X40FT,"₩1,342.40",4/21,4/29,5/2,5/31,"₩5,588,480.0",4/28,,https://drive.google.com/file/d/1jAX3XgOdnJX1oNqOTkml2ms7wc6yUmHR/view?usp=sharing,https://drive.google.com/file/d/1Ul2VGkvVKBdEAjUKMxRiW6O78g7NyDjH/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
,,,,판,CS-230308.,SUN PAPER,THERMAL,48,SUN PAPER,KFNC,30,13.287Mt,$1340.00,"$17,804.58",WDFCHXT23192006,SITC SHIDAO 2319E,WDFU1209014,1X20FT,"₩1,333.00",4/13,4/19,4/19,5/31,"₩2,355,710.0",4/17,,https://drive.google.com/file/d/1xf6Dd4v2UuJ3gHK6oMGanPwjEGlkJ1T-/view?usp=sharing,https://drive.google.com/file/d/10VrFsjzrWLmghzwKQeErlfjCJ2yN6Wnm/view?usp=sharing,,,,23년03월,,3/5,,3/1,TRUE
,,,,판,CS-230309.,CPC,WF,95,TPPI,CHISAN,78,92.651Mt,$894.50,"$82,876.08",KMTCSEN0000676,SUNNY MAPLE,FFAU1070216,4X40FT,"₩1,348.00",5/24,5/29,5/30,6/29,"₩10,943,960.0",4/17,,https://drive.google.com/file/d/1jmYyKFaBP9gANz2PANONNUbH5w_eAxuh/view?usp=sharing,https://drive.google.com/file/d/1jabMxMwYG538iccWmXamC8cnsGPIDj6J/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
다이에이통관,,,,제,CS-230310.,SNP,MGP,30,SNP,CHISAN,72,21.184Mt,$1280.00,"$27,115.52",KMTCBKK3111115,KMTC OSAKA,FFAU1023317,1X40FT,"₩1,332.70",4/16,4/24,,,,,,https://drive.google.com/file/d/1dfKaR2LePIfFz0-kW6fnRnOmEXeVNqI2/view?usp=sharing,https://drive.google.com/file/d/1m5YPw56Di2NGpxqEAXwZZ9mtyF02InIb/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
다이에이통관,,,,판,CS-230311.,SNP,MGT,35,SNP,CHISAN,33,22.64Mt,$1320.00,"$29,884.80",KMTCBKK3115114,KMTC OSAKA,FFAU3995684,1X40FT,"₩1,332.70",4/16,4/24,,,,,,https://drive.google.com/file/d/1A4U68O02KnQOjXmV99gMPP24ZbD6DE10/view?usp=sharing,https://drive.google.com/file/d/1n6iJc3qMtb3sQKMMFtiBcQAllIW8ZzEE/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
,,,,제,CS-230312.,SVETO,WF,90,SVETOGORSK,CHISAN,179,189.275Mt,$720.00,"$136,278.00",HASLR01230600131,GRACE PIONEER 2322S,SKHU8914773,9X40FT,"₩1,369.00",7/4,7/12,7/14,7/14,"₩17,813,440.0",7/14,,https://drive.google.com/file/d/1q_Oip_sJCuy3Q0t4tjC99YYYKdkPRVjB/view?usp=sharing,https://drive.google.com/file/d/1Pu8Q6ysiDvX1I_bDg7bCQ11QJhXIPiO5/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
,,,,판,CS-230313.,OPT,NCR,,OPT,CHISAN,64,32.22Mt,$1496.84,"$48,228.18",POBULCH230500047,SKY RAINBOW,CAIU6705915,"1X20FT,1X40FT","₩1,362.00",5/13,5/24,6/1,6/29,"₩6,450,300.0",5/31,,https://drive.google.com/file/d/1_5fU-1hPsdbSQk17qESlteO5jXdIoqF1/view?usp=sharing,https://drive.google.com/file/d/1R_iJuQjBNe1llY41bC7dJgB12OdyYwoC/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
,,,,판,CS-230314.,OPT,NCR,,OPT,청솔특수지,156,22.852Mt,$1533.04,"$35,033.02",POBULCH230500096,POS HOCHIMINH,SEGU6732121,1X40FT,,5/19,5/27,5/19,5/27,,,,https://drive.google.com/file/d/1pUrySRPvtAhF4MZrSDhbqgGc_T-XC9Kn/view?usp=sharing,https://drive.google.com/file/d/1b3XTwOhxNbvTAO_t70VJuq3TAz9KT9hP/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
M04FQ2303NU00071,3/29,8/14,$121604.14,판,CS-230315.,APP,UWK,117/147,GOLDEAST,CHISAN,154,128.568Mt,$945.83,"$121,604.14",TLTCICBH04281001,JIANG YUAN JI 6,CXDU1093919,9X20FT,"₩1,372.00",4/25,5/16,5/15,5/31,"₩16,405,270.0",8/14,,https://drive.google.com/file/d/1vLT1V0xUH6QrrG312elF-m8NqeCjxEnj/view?usp=sharing,https://drive.google.com/file/d/1xyfwVRVY5vvvj3UpZ0nZuI8aqCMrIFtj/view?usp=sharing,,,,23년03월,,,,3/1,TRUE
